name,category,region,address,lat,lon,phone,email,website,website_live,facebook,instagram,rating,review_count,completeness_score,source,scraped_at
مستشفى لبنان للقلب,hospital,North Lebanon,,34.4188689,35.8287278,+961 6 411 750,,,,https://www.facebook.com/lebanonhearthospital,,,,2,osm,2026-05-04T05:55:01.794291Z
Osta,pharmacy,Mount Lebanon,Wadi Shahrour,33.8178356,35.5579975,+961 5 943 571,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
بلدية تعلبايا,townhall,Bekaa,تعلبايا,33.8164634,35.8716132,+9618505915;+9618505916;+9618505917,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
مطعم الشلالات الزرقا,restaurant,Mount Lebanon,,33.6525097,35.5337695,+961 5 301 149,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مختبرات الحدث,clinic,Mount Lebanon,,33.8394642,35.5303506,+9615464403,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مطعم السلطان جبيل,restaurant,North Lebanon,,34.1219923,35.6436274,+9619550777,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
زهير,fast_food,Mount Lebanon,,33.8404637,35.5327688,+9615470504,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
my bakery,bakery,Mount Lebanon,,33.8243316,35.5445568,+9615922367,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Hôpital Libano-Français,hospital,Bekaa,,33.8334351,35.9124998,+961 8 810 121,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
صيدلية سان شارل,pharmacy,Mount Lebanon,,33.845676,35.5466775,+9615952822,pharmacy.st-charles@outlook.com,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
كنيسة الحماية لروم الملكيين الكاثوليك,place_of_worship,Mount Lebanon,"444, Road 1, Dekwaneh",33.8768441,35.54094,+961 1 480 597,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Class Sport,sports,Beirut,,33.8490645,35.5363877,+9615958989,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
أتويه,clothes,Mount Lebanon,الحدث,33.8330102,35.5303192,+9615464096,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Clinilab,clinic,Beirut,,33.8495472,35.5349449,+9615956011,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
hawilo hadath,fast_food,Mount Lebanon,,33.8407311,35.5327473,+9615462456,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Papitto,laundry,Mount Lebanon,,33.8055452,35.5414058,+9615430677,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
بلدية حومال,townhall,Mount Lebanon,,33.8122122,35.5593032,+9615942794,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Samar,pharmacy,Mount Lebanon,,33.8428302,35.5299652,+9615469881,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Abi Nader,marketplace,Mount Lebanon,,33.8254889,35.5455226,+9615922811,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
lalous argileh,tobacco,Mount Lebanon,,33.8026259,35.5440176,+9615431368,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
جفينور روتانا,hotel,Beirut,,33.8980962,35.4879423,+9611371888,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Vista del Mar,hotel,Mount Lebanon,,33.994658,35.6422228,+9619639799,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
موج البحر,restaurant,Mount Lebanon,,33.9945666,35.6406626,+9619914414,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Makhlouf,restaurant,Mount Lebanon,,33.9885817,35.6374521,+961 9 645 192,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
El Mina,convenience,Mount Lebanon,,33.9879854,35.6371376,+9619637382,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Maison Swiss,bar,Mount Lebanon,,33.987383,35.6371741,+9619930807,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Concept,car_rental,Mount Lebanon,,33.9934074,35.6420657,+9619910091,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Al Murjan Palace Hotel,hotel,Mount Lebanon,,33.9914977,35.6414817,+9619832199,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مانويلا,restaurant,Mount Lebanon,,34.004112,35.6447601,+961 9 830 000,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Josons,outdoor,Mount Lebanon,,33.9821752,35.636614,+9619 644 444,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
بربكيو,fast_food,Mount Lebanon,,33.9818277,35.6286457,+961 9 936 906,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Regency Palace,hotel,Mount Lebanon,,34.018442,35.6485142,+961 9 854 000;+961 9 854 854,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Abdo Couture,clothes,Beirut,,33.8732185,35.5221117,+9611280020,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Chady Abi Aad,electronics,Mount Lebanon,,33.8907552,35.5581884,+9611881231,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Terra Cool,hvac,Beirut,,33.8931404,35.5333746,+9611580300,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Sushiway,restaurant,Mount Lebanon,,34.0138415,35.6471309,+961 9 850 825,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Municipality of Chnaniir,townhall,Mount Lebanon,,34.0087232,35.6675813,+9619925400,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
رصيف بيروت,restaurant,Beirut,"شارع عمر بن عبد العزيز, Beyrouth",33.8974423,35.4844673,+9611736727,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
ملك الطاووق أبراج,fast_food,Beirut,,33.8680207,35.5263357,+9611281678,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
MidTown Hotel & Suites,hotel,South Lebanon,"483, شارع صوراتي, Beyrouth",33.8971008,35.4834235,+961 1 347 555,,,,https://www.facebook.com/MidtownHotelSuites,,,,3,osm,2026-05-04T05:55:01.794291Z
صب معادن أرتين,convenience,Mount Lebanon,,33.8853167,35.551827,+9611488500,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
برد هوس,bakery,North Lebanon,كفر عبيدا,34.2292929,35.6600723,+9616643000,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
ملحمة الحدشيتي,butcher,Mount Lebanon,,33.8279785,35.5278706,+9615469153,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
ماكدونالدز,fast_food,Mount Lebanon,,33.8543587,35.5701848,+9614534072,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
اسناك الجزيرة,bakery,Beirut,"شارع دونان, بيروت",33.8931656,35.4875864,+961 1 755 557,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Focal Point,garden_centre,Mount Lebanon,,33.8699812,35.6067235,+9614870995,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
لايت آرت,photo,Beirut,,33.8469923,35.5262023,+9615463850,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
بطل للانارة,furniture,Beirut,,33.8802872,35.4928284,+9611706706,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
كاليري بيضون,furniture,Beirut,,33.8744788,35.5072986,+9611633616,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Cinemall,cinema,Mount Lebanon,,33.9294732,35.5893892,+9614444399,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Deek Duke,restaurant,Mount Lebanon,,33.9296466,35.5886416,+961 4 524 790,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مركز السيدة,hospital,Mount Lebanon,,33.9100619,35.5874143,+9614713100;+9614713101;+9614713102;+9614713103,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Murray,restaurant,Mount Lebanon,,33.9184787,35.5873168,+9614444213,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Résidence de France,hotel,Mount Lebanon,27,33.9491476,35.593779,+9614540797,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
964 Resto Cafe,restaurant,Mount Lebanon,,33.9187557,35.5879347,+961 4 444 810,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
McDonald's,fast_food,North Lebanon,,34.1360407,35.6453389,+9619622056,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مسعد,fast_food,Beirut,,33.8595141,35.5371068,+9615450048,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Pit Stop Cafe,cafe,Mount Lebanon,,33.9563159,35.6114276,+9619219999,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Pharmacie Bakhos,pharmacy,Mount Lebanon,,34.0139943,35.6469872,+961 9 853 254,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
zaatar w zeit,restaurant,Mount Lebanon,,33.9297523,35.5894042,+961 4 521 978,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
جوجو لامب,electronics,Beirut,,33.8495292,35.5046862,+9611559899,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Swiss Butter,restaurant,Bekaa,Zahlé,33.8547032,35.8945703,+961 8 818 518,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Platea,hotel,Mount Lebanon,,33.9976363,35.6490573,+9619831666,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
فرن العذرا,fast_food,Mount Lebanon,,34.0632699,35.7090892,+9619860885,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
برادي حمود,curtain,Beirut,,33.858105,35.5102161,+9611273315;+9611273385,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مايك سبور,sports,Beirut,,33.8546124,35.5145023,+9611888855,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Securol,curtain,Mount Lebanon,,33.7794537,35.4744263,+9615801461,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
زجاح الشعار,glaziery,Mount Lebanon,,33.8197085,35.5244698,+9615430281,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
صيدلية شعلان,pharmacy,Akkar,طريق وادي خالد,34.6386194,36.3634359,+9616870110,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
شادي نجار,electronics,Beirut,,33.8768815,35.5059099,+9611630620,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Boulangerie Kolkas,bakery,Beirut,,33.8592872,35.5089707,+961 1 555 132,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Saniour,restaurant,Mount Lebanon,,33.9987977,35.6480661,+9619933944,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
الزعيم اوتو بارتز,car_parts,Beirut,,33.8664199,35.5166388,+9611392039,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
اوركا,shoes,Beirut,,33.8476184,35.5248293,+9615467300;+9615467302,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Allied Computer Services ALCS,computer,Mount Lebanon,,33.900963,35.6045228,+9614727010;+9614717002,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Saba Supermarket,supermarket,Mount Lebanon,طريق انطلياس بكفيا,33.9206561,35.6878047,+9614980077,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
AKL Stores,clothes,Beirut,,33.85939,35.5360561,+9615454381,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
السفارة الألمانية,diplomatic,Mount Lebanon,,33.9207107,35.6166857,+961 4 935 000,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Wooden Bakery,bakery,Mount Lebanon,,34.0222814,35.6468058,+9619855935,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Saab,restaurant,Mount Lebanon,,33.918608,35.6774327,+9614986269,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
آزار,fuel,Mount Lebanon,93,33.9196273,35.6174914,+9614911274,azarstation@gmail.com,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
Atyãb Harissa Restaurant,cafe,Mount Lebanon,,33.9815459,35.6520239,+9619263030,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Gourma,restaurant,Mount Lebanon,أتستراد البحر,34.0177117,35.6316217,+9619856609,thegourma@gmail.com,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
شاورما الزهراء,fast_food,Beirut,أوتستراد هادي نصرالله,33.8601414,35.5116712,+9611277860,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Halabi Exsange,bureau_de_change,Beirut,شارع الأوزاعي,33.8784443,35.5050367,+9611630414,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Sfeir Industries-Stainless Steel,furniture,Mount Lebanon,,33.8925828,35.5590614,+9611884666,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
hidden valley,picnic_site,Mount Lebanon,,33.8720957,35.7340441,+9615360863,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مختبرات الدكتور نعمه,clinic,Mount Lebanon,,33.8925258,35.5586191,+9611253117,lab_naame@idm.net.lb,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
جبنة وليام,fast_food,Mount Lebanon,ريفون,33.9764074,35.7114992,+9619957990,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Strand Réstocafé,restaurant,Bekaa,,33.9097189,35.7569093,+961 4 295 681,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
روت فورتي وان,restaurant,Mount Lebanon,"41, Kferchima Main",33.8165845,35.5324613,+9615433783,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
ناتكو (كيا),car_repair,Beirut,بيروت,33.8889766,35.5322841,+961 1 574 999,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
عيادة الدكتور بري الاسعد,doctors,Akkar,,34.6215041,36.3894353,+9616870044,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
عبده ألمانيا,car_rental,Mount Lebanon,"شارع الأخوين رحباني, أنطلياس",33.9175329,35.5872473,+961 4 411 310,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
مسعد,fast_food,North Lebanon,,34.1247169,35.6489922,+9619856030,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
فاركم,mobile_phone,Mount Lebanon,شارع 19,33.8879216,35.5591609,+961 1 888 232,farcom.lb@gmail.com,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
Dani Cell,mobile_phone,Mount Lebanon,,33.7928606,35.4925874,+9615804319,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
عيادة سبليني,clinic,Beirut,Boulevard Saëb Salam,33.8777804,35.5032947,+9611660940,drsiblini@gmail.com,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
صيدليّة ألما,pharmacy,Beirut,,33.89239,35.499787,+9611377041,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
صيدلية شهاب,pharmacy,Beirut,,33.8893223,35.5024125,+9611663600,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
صيدلية سوبركير,pharmacy,Beirut,,33.8688261,35.5169748,+9611382388,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
د. تحسين الثمين,dentist,North Lebanon,Fouad Chihab,34.4402481,35.8386382,+9616625631,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
مستشفی البيسار,hospital,North Lebanon,,34.4394104,35.8402355,+9616432267;+961430365,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Tallet Nasr,restaurant,Mount Lebanon,,33.9083844,35.676303,+9614983549,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
المستشفى اللبناني الإيطالي,hospital,South Lebanon,,33.2536563,35.2246045,+9617344423,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Moulin d'Or,fast_food,North Lebanon,جبيل,34.123729,35.6572523,+9619543999,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Library samaha,books,Mount Lebanon,ghadir jounie,33.977884,35.631721,+9619900353,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
مصبغة بلازا,laundry,Beirut,شارع بني معروف,33.8902191,35.4869465,+9611740260,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Maison de la Sécurité,computer,Mount Lebanon,"1068, Route Principale de Broumana;, Mansouriyé",33.8585894,35.5640627,+9614534861,mdls@dm.net.lb,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
سنتر فنزويلا,clothes,Mount Lebanon,Rue Fouad Chehab,33.982559,35.6302251,+9619635019,domestica.jose@yahoo.com,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
Dr Fadi Geara,doctors,Mount Lebanon,Rue 5,33.9494942,35.6511304,+961 9 237 651,fadi.geara@usj.edu.lb,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
فندق كميلوت,hotel,Mount Lebanon,,34.007014,35.6487752,+9619855222,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
منزل أبي راشد,attraction,Mount Lebanon,Abi Llameh Street,33.890665,35.567716,+9611902591,reine_abi_rached@icloud.com,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
سوبرماركت خوري,supermarket,North Lebanon,Route Jrâne,34.2202044,35.7150534,+9616720888,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
صالون وسام بو غصن للسيدات,hairdresser,Mount Lebanon,Bsalim exit,33.9003137,35.5982382,+9614723760,wissamboughosn@hotmail.com,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
سانت ميشال بيت شباب,pharmacy,Mount Lebanon,,33.9253918,35.6777882,+961 4 983 703,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مؤسسة النشار قطع غيار مرسيدس جديد ومستعمل,car_parts,Beirut,طريق بيروت القديم، باب الرمل بجانب مسجد أميرة,34.4291267,35.8383397,+9616625858,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
اوبتيك الرشيد,optician,North Lebanon,شارع عزمي بك,34.4385498,35.8378217,+9616628354,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Saradar Bank,bank,Beirut,جادة شارل مالك,33.892783,35.5089121,+9611339000,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
ماء الذهب للعطور,beauty,Beirut,شارع عمر بن عبد العزيز,33.8979292,35.4841202,+9611750815,hamra.maaalthahab@gmail.com,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
Bchamoun Hospital,hospital,Mount Lebanon,,33.7828674,35.5231476,+9615270970,,,,https://www.facebook.com/bshamounspecialtyhospital,https://www.instagram.com/explore/locations/1024176296/lebanon/beirut-lebanon/bchamoun-speciality-hospital,,,2,osm,2026-05-04T05:55:01.794291Z
صيدلية الحكمة,pharmacy,Beirut,,33.8899814,35.4996836,+9611845877,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
محطة نصار,fuel,Mount Lebanon,جون,33.5802078,35.4587878,+961 7 975 585,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
فندق وايت,hotel,Mount Lebanon,,34.0394999,35.6844277,+961 9 740 910,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
صيدلية إلسي,pharmacy,Mount Lebanon,,34.0344958,35.6694419,+961 9 741 300,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
غريس,motel,Mount Lebanon,طريق برمانا الرئيسية,33.885046,35.6382056,+9614960715,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Malena,restaurant,North Lebanon,,34.1213409,35.6442473,+961 9 544 111,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Chef Jack,restaurant,Mount Lebanon,Rond Point Wakim,33.8699535,35.6077322,+961 4 870 324,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Il Palmito,restaurant,Mount Lebanon,,33.8731393,35.6111137,+961 4 874 079,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
فرن بدارو ستريت,bakery,Beirut,,33.8739835,35.51615,+9611381232,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
L'Abeille d'Or,bakery,Beirut,,33.8882891,35.5248539,+9611204714,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
منتجع بيتش أمواج,chalet,Mount Lebanon,101,33.983504,35.63041,+9619918700,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
سانت جاك زكريت,pharmacy,Mount Lebanon,,33.9366818,35.6299333,+9614915730,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
ة مربوطة,restaurant,Beirut,Hamra,33.8958908,35.4828701,+961 1 743 882,,,,https://www.facebook.com/tmarbouta/,,,,3,osm,2026-05-04T05:55:01.794291Z
Akiki Engineering,company,Beirut,"Rue Saïdé, Beyrouth",33.8869688,35.529373,+9611216022,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
شركة سي إم إم للتوريدات والخدمات,company,Beirut,"شارع فؤاد شهاب, سن الفيل",33.8701594,35.5423512,+9611512820,purchase@cmm-hc.com,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
صيدلية الصباح,pharmacy,Mount Lebanon,الضبية,33.9492897,35.5954365,+9614544337,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
دار الحوراء الطبي,clinic,Beirut,"بئر العبد, حارة حريك",33.8549457,35.5117937,+9611544889,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
grandcinemas,cinema,Mount Lebanon,,33.9264856,35.5882363,+9614444650,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Resto Ghazar,restaurant,Mount Lebanon,,33.9136338,35.5862727,+961 4 408 060,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
المنازل,guest_house,Akkar,القبيات,34.5668178,36.2797343,+9616350991,lesdemeureskobayth@gmail.com,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
Bon Goût,confectionery,North Lebanon,,34.4386038,35.8373664,+9616431503,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Rassif Coffee & Tea,cafe,North Lebanon,شارع عشير الدايه,34.423443,35.8263942,+9616412772,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Divvy,restaurant,Beirut,,33.8970409,35.525162,+961 1 444 020,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مستشفى الراعي,hospital,South Lebanon,صيدا سينيق,33.5316527,35.3624088,+9617222023;+9617222024;+9617222025,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Helado,ice_cream,Mount Lebanon,,34.0002815,35.6490489,+9619938897,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Caesar's Park Hotel,hotel,Beirut,,33.8925519,35.484219,+961747711,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
ملحمة البتول,butcher,Akkar,,34.5892575,36.2292191,+9616830601,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Rose d'Art,florist,Beirut,,33.8751907,35.5236027,+9611612694,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Caravan Serail,restaurant,Beirut,Rue Commodor,33.8951501,35.4806784,+9611350199,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
فروج طارق,restaurant,Beirut,,33.8480115,35.5074415,+9611559454,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
فندق لا ميراج,hotel,Mount Lebanon,أتستراد البحر,34.0086343,35.648647,+9619851636,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
The Standard II,hotel,Beirut,,33.8976837,35.483667,+9611735832,info@beiruthome.com,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Cyclo sport,bicycle,Beirut,شارع غورو,33.8950619,35.5116344,+9611446792,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Cash and Carry,garden_centre,Beirut,,33.8859122,35.4822217,+9611788711,info@candclb.com,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Pizza guys,fast_food,Beirut,,33.895079,35.5149887,+9611447441,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
El Qontar Guesthouse,hostel,Mount Lebanon,,33.8909494,35.7411052,+9614295043,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
المولينو,restaurant,North Lebanon,,34.1225485,35.6431934,+961 9 541 555,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Soto Liban,restaurant,Beirut,شارع إبراهيم عبد العال,33.896631,35.4824971,+9611744144,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Darseen Restaurant,restaurant,Mount Lebanon,sea road zouk,33.9781179,35.6131547,+9619221067,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
