name,category,region,country,address,lat,lon,phone,email,website,website_live,facebook,instagram,whatsapp,linkedin,rating,review_count,completeness_score,lead_score,industry_priority,recommended_service,source,scraped_at
ماكدونالدز,fast_food,Mount Lebanon,LB,,33.9105469,35.5829256,+9614521349,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
ستاربكس,cafe,Mount Lebanon,LB,,33.9005689,35.572722,+9611757154,,https://locations.starbucks.com.lb/directory/mount-lebanon/zalka-road-zalka,True,,font,,,,,3,50,high,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
Wooden Bakery,bakery,Mount Lebanon,LB,,33.8542707,35.569453,+9614532666,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
سي اسويت,confectionery,Beirut,LB,Rue de Damas,33.8675065,35.5271053,+9611292444,,http://www.lebanon.com/seasweet/,True,,,,,,,3,33,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
Copas,restaurant,Mount Lebanon,LB,"برمانا, Broumana",33.8855576,35.6393939,+9614963999,,http://www.copas.asia/,False,,,,,,,3,50,high,Website rebuild + maintenance,osm,2026-05-04T13:12:10.490486Z
مستشفى لبنان للقلب,hospital,North Lebanon,LB,,34.4188689,35.8287278,+9616411750,,,,https://www.facebook.com/lebanonhearthospital,,,,,,2,23,medium,Website launch + capture their existing audience,osm,2026-05-04T13:12:10.490486Z
Osta,pharmacy,Mount Lebanon,LB,Wadi Shahrour,33.8178356,35.5579975,+9615943571,,,,,,,,,,2,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
مستشفى شتورا,hospital,Bekaa,LB,شتورا,33.8192371,35.8586781,+9618544022,,http://www.chtourahospital.com,True,,import,,https://linkedin.com/company/chtoura-hospital,,,5,43,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
مطعم الشلالات الزرقا,restaurant,Mount Lebanon,LB,,33.6525097,35.5337695,+9615301149,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
مختبرات الحدث,clinic,Mount Lebanon,LB,,33.8394642,35.5303506,+9615464403,,,,,,,,,,1,30,high,Lead-gen website + Google Ads launch,osm,2026-05-04T13:12:10.490486Z
مطعم السلطان جبيل,restaurant,North Lebanon,LB,,34.1219923,35.6436274,+9619550777,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
زهير,fast_food,Mount Lebanon,LB,,33.8404637,35.5327688,+9615470504,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
my bakery,bakery,Mount Lebanon,LB,,33.8243316,35.5445568,+9615922367,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Hôpital Libano-Français,hospital,Bekaa,LB,,33.8334351,35.9124998,+9618810121,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
صيدلية سان شارل,pharmacy,Mount Lebanon,LB,,33.845676,35.5466775,+9615952822,pharmacy.st-charles@outlook.com,,,,,,,,,2,43,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
أتويه,clothes,Mount Lebanon,LB,الحدث,33.8330102,35.5303192,+9615464096,,,,,,,,,,2,30,high,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
EKT Katrangi,electronics,Beirut,LB,"شارع خليل مطران, Beyrouth",33.864812,35.4904856,+9611820020,,https://www.katranji.com,True,,katrangistore,+96181936272,,,,5,58,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
Clinilab,clinic,Beirut,LB,,33.8495472,35.5349449,+9615956011,,,,,,,,,,1,30,high,Lead-gen website + Google Ads launch,osm,2026-05-04T13:12:10.490486Z
hawilo hadath,fast_food,Mount Lebanon,LB,,33.8407311,35.5327473,+9615462456,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Papitto,laundry,Mount Lebanon,LB,,33.8055452,35.5414058,+9615430677,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Samar,pharmacy,Mount Lebanon,LB,,33.8428302,35.5299652,+9615469881,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Abi Nader,marketplace,Mount Lebanon,LB,,33.8254889,35.5455226,+9615922811,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Softkube s.a.r.l.,company,Beirut,LB,"Slaf Street, Beyrouth",33.878791,35.5427933,+9611494676,,https://softkube.com/,True,,,,https://linkedin.com/company/softkube-s.a.r.l.,,,4,25,low,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
lalous argileh,tobacco,Mount Lebanon,LB,,33.8026259,35.5440176,+9615431368,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
جفينور روتانا,hotel,Beirut,LB,,33.8980962,35.4879423,+9611371888,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Vista del Mar,hotel,Mount Lebanon,LB,,33.994658,35.6422228,+9619639799,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
موج البحر,restaurant,Mount Lebanon,LB,,33.9945666,35.6406626,+9619914414,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Makhlouf,restaurant,Mount Lebanon,LB,,33.9885817,35.6374521,+9619645192,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
El Mina,convenience,Mount Lebanon,LB,,33.9879854,35.6371376,+9619637382,,,,,,,,,,1,23,medium,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Maison Swiss,bar,Mount Lebanon,LB,,33.987383,35.6371741,+9619930807,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Concept,car_rental,Mount Lebanon,LB,,33.9934074,35.6420657,+9619910091,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Al Murjan Palace Hotel,hotel,Mount Lebanon,LB,,33.9914977,35.6414817,+9619832199,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
مانويلا,restaurant,Mount Lebanon,LB,,34.004112,35.6447601,+9619830000,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Sanita,company,Mount Lebanon,LB,,34.0830218,35.6500995,+9619477001,info@sanitalb.com,http://www.sanitalb.com,True,,sanitalb,,,,,4,55,low,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
بربكيو,fast_food,Mount Lebanon,LB,,33.9818277,35.6286457,+9619936906,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Khodr Jewelry,jewelry,Beirut,LB,شارع أمين منيمنة,33.8929773,35.4853709,+9611343539,info@khodrjewelry.com,https://www.khodrjewelry.com/,False,,,,,,,4,70,high,Website rebuild + maintenance,osm,2026-05-04T13:12:10.490486Z
Regency Palace,hotel,Mount Lebanon,LB,,34.018442,35.6485142,+96198540009619854854,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Abdo Couture,clothes,Beirut,LB,,33.8732185,35.5221117,+9611280020,,,,,,,,,,1,30,high,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Chady Abi Aad,electronics,Mount Lebanon,LB,,33.8907552,35.5581884,+9611881231,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Centre de Design Farra,furniture,Mount Lebanon,LB,"155, طريق برمانا الرئيسية, Metn",33.8638968,35.5469009,+9611687000,info@farra.com,http://www.farra.com,True,,keyframes,,,,,5,63,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
Sushiway,restaurant,Mount Lebanon,LB,,34.0138415,35.6471309,+9619850825,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Napoleon Hotel,hotel,Beirut,LB,"Nehme Yafet, Bayrut, Lebanon",33.897331199999996,35.479969,+9611340013,,http://www.napoleonbeirut.com/,True,,,,,3.4,554,3,55,high,Reputation + SEO turnaround,google_places|osm,2026-05-04T13:12:10.493892Z
رصيف بيروت,restaurant,Beirut,LB,"شارع عمر بن عبد العزيز, Beyrouth",33.8974423,35.4844673,+9611736727,,,,,,,,,,2,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
A New Earth Organic Store,supermarket,Beirut,LB,شارع زهرة الإحسان,33.8897362,35.5174801,+9611219920,,https://www.anewearth.net/,True,,media,,,,,4,43,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
ملك الطاووق أبراج,fast_food,Beirut,LB,,33.8680207,35.5263357,+9611281678,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
MidTown Hotel & Suites,hotel,South Lebanon,LB,"483, شارع صوراتي, Beyrouth",33.8971008,35.4834235,+9611347555,,,,https://www.facebook.com/MidtownHotelSuites,,,,,,3,30,high,Website launch + capture their existing audience,osm,2026-05-04T13:12:10.490486Z
صب معادن أرتين,convenience,Mount Lebanon,LB,,33.8853167,35.551827,+9611488500,,,,,,,,,,1,23,medium,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
برد هوس,bakery,North Lebanon,LB,كفر عبيدا,34.2292929,35.6600723,+9616643000,,,,,,,,,,2,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
تي إس سي بلوس,supermarket,Mount Lebanon,LB,"Al Sayyad Round About, Baabda",33.8543472,35.5347045,+9615955200,,https://www.sultan-center.com/Default.aspx?pageId=525,True,,original,,,,,4,43,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
ملحمة الحدشيتي,butcher,Mount Lebanon,LB,,33.8279785,35.5278706,+9615469153,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
ماكدونالدز,fast_food,Mount Lebanon,LB,,33.8543587,35.5701848,+9614534072,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
اسناك الجزيرة,bakery,Beirut,LB,"شارع دونان, بيروت",33.8931656,35.4875864,+9611755557,,,,,,,,,,2,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Focal Point,garden_centre,Mount Lebanon,LB,,33.8699812,35.6067235,+9614870995,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Grand Hills,hotel,Mount Lebanon,LB,"Charkieh Main Road, Broumana",33.8770925,35.6241206,+9614868888,reservations.grandhills@luxurycollection.com,https://www.marriott.com/hotels/travel/beylc-grand-hills-a-luxury-collection-hotel-and-spa-broumana/,True,,,,,,,4,60,high,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
لايت آرت,photo,Beirut,LB,,33.8469923,35.5262023,+9615463850,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
بطل للانارة,furniture,Beirut,LB,,33.8802872,35.4928284,+9611706706,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
كاليري بيضون,furniture,Beirut,LB,,33.8744788,35.5072986,+9611633616,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Deek Duke,restaurant,Mount Lebanon,LB,,33.9296466,35.5886416,+9614524790,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
مركز السيدة,hospital,Mount Lebanon,LB,,33.9100619,35.5874143,+9614713100961471310196147131029614713103,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
The Peninsula,restaurant,Mount Lebanon,LB,,33.9470802,35.5937397,+9614540240,info@thepeninsula.com.lb,https://www.thepeninsula.com.lb/,True,https://m.facebook.com/thepeninsularestaurantandgardens/,thepeninsularestaurant,,,,,4,70,high,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
Murray,restaurant,Mount Lebanon,LB,,33.9184787,35.5873168,+9614444213,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Résidence de France,hotel,Mount Lebanon,LB,27,33.9491476,35.593779,+9614540797,,,,,,,,,,2,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
964 Resto Cafe,restaurant,Mount Lebanon,LB,,33.9187557,35.5879347,+9614444810,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
McDonald's,fast_food,North Lebanon,LB,,34.1360407,35.6453389,+9619622056,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
مسعد,fast_food,Beirut,LB,,33.8595141,35.5371068,+9615450048,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Pit Stop Cafe,cafe,Mount Lebanon,LB,,33.9563159,35.6114276,+9619219999,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Pharmacie Bakhos,pharmacy,Mount Lebanon,LB,,34.0139943,35.6469872,+9619853254,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
zaatar w zeit,restaurant,Mount Lebanon,LB,,33.9297523,35.5894042,+9614521978,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
بابل,restaurant,Mount Lebanon,LB,,33.9414709,35.5920544,+9614546546,,https://www.babelrestaurant.com/,True,,,,,,,2,40,high,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
جوجو لامب,electronics,Beirut,LB,,33.8495292,35.5046862,+9611559899,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Swiss Butter,restaurant,Bekaa,LB,Zahlé,33.8547032,35.8945703,+9618818518,,,,,,,,,,2,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Platea,hotel,Mount Lebanon,LB,,33.9976363,35.6490573,+9619831666,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
فرن العذرا,fast_food,Mount Lebanon,LB,,34.0632699,35.7090892,+9619860885,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
برادي حمود,curtain,Beirut,LB,,33.858105,35.5102161,+96112733159611273385,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Securol,curtain,Mount Lebanon,LB,,33.7794537,35.4744263,+9615801461,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
صالح ديكو,furniture,Beirut,LB,"شارع ألفريد نقاش, بيروت",33.8824458,35.5209111,+9611398449,info@salehdeo.com,https://salehdeco.com/,True,SalehDecosal,font,+9613133364,,,,6,78,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
مستشفى سيدة المعونات جبيل,hospital,North Lebanon,LB,,34.1281622,35.6588606,+9619940400,info@chu-nds.org,http://chu-nds.org/,True,,chunds.official,,https://linkedin.com/company/chunds,,,5,63,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
Université Libano-Française,university,North Lebanon,LB,"Boulevard Béchara el Khoury, Tripoli",34.4286331,35.8322329,+96164256089616425609,info@ulf.edu.lb,http://ulf.edu.lb/,False,,,,,,,4,63,medium,Website rebuild + maintenance,osm,2026-05-04T13:12:10.490486Z
Storiom - Supercenter,department_store,Mount Lebanon,LB,Main، Lebanon,33.9206177,35.6305845,+9614922934,info@storiomsaliba.com,http://www.storiom.com.lb/,True,,keyframes,+96176367368,,4.4,1431,6,83,medium,Digital marketing retainer (Meta + Google + content),google_places|osm,2026-05-04T13:12:10.493892Z
مستشفى مظلوم,hospital,North Lebanon,LB,"شارع أشرف كبارة, طرابلس",34.431834,35.8327696,+9616410025,info@newmazloum.com,http://newmazloum.com,True,https://www.facebook.com/newmazloumhospital,,,,,,5,53,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
صيدلية شعلان,pharmacy,Akkar,LB,طريق وادي خالد,34.6386194,36.3634359,+9616870110,,,,,,,,,,2,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
شادي نجار,electronics,Beirut,LB,,33.8768815,35.5059099,+9611630620,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Boulangerie Kolkas,bakery,Beirut,LB,,33.8592872,35.5089707,+9611555132,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Saniour,restaurant,Mount Lebanon,LB,,33.9987977,35.6480661,+9619933944,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
اوركا,shoes,Beirut,LB,,33.8476184,35.5248293,+96154673009615467302,,,,,,,,,,1,30,high,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Allied Computer Services ALCS,computer,Mount Lebanon,LB,,33.900963,35.6045228,+96147270109614717002,,,,,,,,,,1,30,high,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Saba Supermarket,supermarket,Mount Lebanon,LB,طريق انطلياس بكفيا,33.9206561,35.6878047,+9614980077,,,,,,,,,,2,23,medium,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
AKL Stores,clothes,Beirut,LB,,33.85939,35.5360561,+9615454381,,,,,,,,,,1,30,high,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
دي آش إل,post_office,Beirut,LB,"شارع الأمير بشير, بيروت",33.8946945,35.5057092,+9611629700,,http://dhl.com.lb,False,,,,,,,3,43,medium,Website rebuild + maintenance,osm,2026-05-04T13:12:10.490486Z
SSCC Bikfaya,school,Mount Lebanon,LB,,33.9210126,35.6820619,+9614980510,,http://www.bikfaya.sscc.edu.lb/,True,,link,,,,,3,43,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
Wooden Bakery,bakery,Mount Lebanon,LB,,34.0222814,35.6468058,+9619855935,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Saab,restaurant,Mount Lebanon,LB,,33.918608,35.6774327,+9614986269,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Atyãb Harissa Restaurant,cafe,Mount Lebanon,LB,,33.9815459,35.6520239,+9619263030,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Hilton Beirut Habtoor Grand,hotel,Beirut,LB,"Charles De Gaulle Street, Beyrouth",33.869416,35.5372243,+9611500666,BeirutHabtoorGrand.Information@hilton.com,https://www.hilton.com/en/hotels/beyhghi-hilton-beirut-habtoor-grand,True,http://www.facebook.com/HiltonBeirutHabtoorGrand,https://instagram.com/hiltonbeirut,,,,,5,70,high,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
Gourma,restaurant,Mount Lebanon,LB,أتستراد البحر,34.0177117,35.6316217,+9619856609,thegourma@gmail.com,,,,,,,,,3,50,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
شاورما الزهراء,fast_food,Beirut,LB,أوتستراد هادي نصرالله,33.8601414,35.5116712,+9611277860,,,,,,,,,,2,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Sfeir Industries-Stainless Steel,furniture,Mount Lebanon,LB,,33.8925828,35.5590614,+9611884666,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
مجموعة البضن,clothes,North Lebanon,LB,طريق البحر,34.4478986,35.825643,+9616600558,info@bodongroup.com,http://www.bodongroup.com,False,,,,,,,4,70,high,Website rebuild + maintenance,osm,2026-05-04T13:12:10.490486Z
