name,category,region,country,address,lat,lon,phone,email,website,website_live,facebook,instagram,rating,review_count,completeness_score,industry_priority,recommended_service,source,scraped_at
برد هوس,bakery,North Lebanon,LB,كفر عبيدا,34.2292929,35.6600723,+9616643000,,,,,,,,2,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
تي إس سي بلوس,supermarket,Mount Lebanon,LB,"Al Sayyad Round About, Baabda",33.8543472,35.5347045,+961 5 955 200,,https://www.sultan-center.com/Default.aspx?pageId=525,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
ملحمة الحدشيتي,butcher,Mount Lebanon,LB,,33.8279785,35.5278706,+9615469153,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
ماكدونالدز,fast_food,Mount Lebanon,LB,,33.8543587,35.5701848,+9614534072,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
اسناك الجزيرة,bakery,Beirut,LB,"شارع دونان, بيروت",33.8931656,35.4875864,+961 1 755 557,,,,,,,,2,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Focal Point,garden_centre,Mount Lebanon,LB,,33.8699812,35.6067235,+9614870995,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Grand Hills,hotel,Mount Lebanon,LB,"Charkieh Main Road, Broumana",33.8770925,35.6241206,+961 4 868 888,reservations.grandhills@luxurycollection.com,https://www.marriott.com/hotels/travel/beylc-grand-hills-a-luxury-collection-hotel-and-spa-broumana/,True,,,,,4,high,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
لايت آرت,photo,Beirut,LB,,33.8469923,35.5262023,+9615463850,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
بطل للانارة,furniture,Beirut,LB,,33.8802872,35.4928284,+9611706706,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
كاليري بيضون,furniture,Beirut,LB,,33.8744788,35.5072986,+9611633616,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Deek Duke,restaurant,Mount Lebanon,LB,,33.9296466,35.5886416,+961 4 524 790,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
مركز السيدة,hospital,Mount Lebanon,LB,,33.9100619,35.5874143,+9614713100;+9614713101;+9614713102;+9614713103,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
The Peninsula,restaurant,Mount Lebanon,LB,,33.9470802,35.5937397,+961 4 540 240,info@thepeninsula.com.lb,https://www.thepeninsula.com.lb/,True,https://m.facebook.com/thepeninsularestaurantandgardens/,,,,4,high,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Murray,restaurant,Mount Lebanon,LB,,33.9184787,35.5873168,+9614444213,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Résidence de France,hotel,Mount Lebanon,LB,27,33.9491476,35.593779,+9614540797,,,,,,,,2,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
964 Resto Cafe,restaurant,Mount Lebanon,LB,,33.9187557,35.5879347,+961 4 444 810,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
McDonald's,fast_food,North Lebanon,LB,,34.1360407,35.6453389,+9619622056,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
مسعد,fast_food,Beirut,LB,,33.8595141,35.5371068,+9615450048,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Pit Stop Cafe,cafe,Mount Lebanon,LB,,33.9563159,35.6114276,+9619219999,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Pharmacie Bakhos,pharmacy,Mount Lebanon,LB,,34.0139943,35.6469872,+961 9 853 254,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
zaatar w zeit,restaurant,Mount Lebanon,LB,,33.9297523,35.5894042,+961 4 521 978,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
بابل,restaurant,Mount Lebanon,LB,,33.9414709,35.5920544,+9614546546,,https://www.babelrestaurant.com/,True,,,,,2,high,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
جوجو لامب,electronics,Beirut,LB,,33.8495292,35.5046862,+9611559899,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Swiss Butter,restaurant,Bekaa,LB,Zahlé,33.8547032,35.8945703,+961 8 818 518,,,,,,,,2,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Platea,hotel,Mount Lebanon,LB,,33.9976363,35.6490573,+9619831666,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
فرن العذرا,fast_food,Mount Lebanon,LB,,34.0632699,35.7090892,+9619860885,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
برادي حمود,curtain,Beirut,LB,,33.858105,35.5102161,+9611273315;+9611273385,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Securol,curtain,Mount Lebanon,LB,,33.7794537,35.4744263,+9615801461,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
صالح ديكو,furniture,Beirut,LB,"شارع ألفريد نقاش, بيروت",33.8824458,35.5209111,+961 1 398 449,info@salehdeo.com,https://salehdeco.com/,True,SalehDecosal,,,,5,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
مستشفى سيدة المعونات جبيل,hospital,North Lebanon,LB,,34.1281622,35.6588606,+961 9 940 400,info@chu-nds.org,http://chu-nds.org/,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Université Libano-Française,university,North Lebanon,LB,"Boulevard Béchara el Khoury, Tripoli",34.4286331,35.8322329,+961 6 425 608;+961 6 425 609,info@ulf.edu.lb,http://ulf.edu.lb/,True,,,,,4,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Storiom - Supercenter,department_store,Mount Lebanon,LB,Main، Lebanon,33.9206177,35.6305845,04 922 934,info@storiomsaliba.com,http://www.storiom.com.lb/,True,,,4.4,1431,4,medium,Discovery call - scope the right service,google_places|osm,2026-05-04T11:47:22.394171Z
مستشفى مظلوم,hospital,North Lebanon,LB,"شارع أشرف كبارة, طرابلس",34.431834,35.8327696,+9616410025,info@newmazloum.com,http://newmazloum.com,True,https://www.facebook.com/newmazloumhospital,,,,5,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
صيدلية شعلان,pharmacy,Akkar,LB,طريق وادي خالد,34.6386194,36.3634359,+9616870110,,,,,,,,2,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
شادي نجار,electronics,Beirut,LB,,33.8768815,35.5059099,+9611630620,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Boulangerie Kolkas,bakery,Beirut,LB,,33.8592872,35.5089707,+961 1 555 132,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Saniour,restaurant,Mount Lebanon,LB,,33.9987977,35.6480661,+9619933944,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
اوركا,shoes,Beirut,LB,,33.8476184,35.5248293,+9615467300;+9615467302,,,,,,,,1,high,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Allied Computer Services ALCS,computer,Mount Lebanon,LB,,33.900963,35.6045228,+9614727010;+9614717002,,,,,,,,1,high,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Saba Supermarket,supermarket,Mount Lebanon,LB,طريق انطلياس بكفيا,33.9206561,35.6878047,+9614980077,,,,,,,,2,medium,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
AKL Stores,clothes,Beirut,LB,,33.85939,35.5360561,+9615454381,,,,,,,,1,high,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
دي آش إل,post_office,Beirut,LB,"شارع الأمير بشير, بيروت",33.8946945,35.5057092,+9611629700,,http://dhl.com.lb,False,,,,,3,medium,Website rebuild + maintenance,osm,2026-05-04T11:47:22.388875Z
SSCC Bikfaya,school,Mount Lebanon,LB,,33.9210126,35.6820619,+961 4 980 510,,http://www.bikfaya.sscc.edu.lb/,True,,,,,2,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Wooden Bakery,bakery,Mount Lebanon,LB,,34.0222814,35.6468058,+9619855935,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Saab,restaurant,Mount Lebanon,LB,,33.918608,35.6774327,+9614986269,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Atyãb Harissa Restaurant,cafe,Mount Lebanon,LB,,33.9815459,35.6520239,+9619263030,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Hilton Beirut Habtoor Grand,hotel,Beirut,LB,"Charles De Gaulle Street, Beyrouth",33.869416,35.5372243,+961 1 500 666,BeirutHabtoorGrand.Information@hilton.com,https://www.hilton.com/en/hotels/beyhghi-hilton-beirut-habtoor-grand,True,http://www.facebook.com/HiltonBeirutHabtoorGrand,https://instagram.com/hiltonbeirut,,,5,high,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Gourma,restaurant,Mount Lebanon,LB,أتستراد البحر,34.0177117,35.6316217,+9619856609,thegourma@gmail.com,,,,,,,3,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
شاورما الزهراء,fast_food,Beirut,LB,أوتستراد هادي نصرالله,33.8601414,35.5116712,+9611277860,,,,,,,,2,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Sfeir Industries-Stainless Steel,furniture,Mount Lebanon,LB,,33.8925828,35.5590614,+9611884666,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
مجموعة البضن,clothes,North Lebanon,LB,طريق البحر,34.4478986,35.825643,+9616600558,info@bodongroup.com,http://www.bodongroup.com,False,,,,,4,high,Website rebuild + maintenance,osm,2026-05-04T11:47:22.388875Z
مختبرات الدكتور نعمه,clinic,Mount Lebanon,LB,,33.8925258,35.5586191,+9611253117,lab_naame@idm.net.lb,,,,,,,2,high,Lead-gen website + Google Ads launch,osm,2026-05-04T11:47:22.388875Z
جبنة وليام,fast_food,Mount Lebanon,LB,ريفون,33.9764074,35.7114992,+9619957990,,,,,,,,2,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Media Square,photo,Mount Lebanon,LB,جل الديب,33.906883,35.5857298,+9614719919,info@mediasquare.tv,https://www.mediasquare.tv/,True,,,,,4,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
مطعم برج,restaurant,Beirut,LB,,33.848684,35.4926971,+9611453777,info@bridgerest.net,http://www.bridgerest.net,False,,,,,3,high,Website rebuild + maintenance,osm,2026-05-04T11:47:22.388875Z
Strand Réstocafé,restaurant,Bekaa,LB,,33.9097189,35.7569093,+961 4 295 681,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
روت فورتي وان,restaurant,Mount Lebanon,LB,"41, Kferchima Main",33.8165845,35.5324613,+9615433783,,,,,,,,2,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
ناتكو (كيا),car_repair,Beirut,LB,بيروت,33.8889766,35.5322841,+961 1 574 999,,,,,,,,2,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
عيادة الدكتور بري الاسعد,doctors,Akkar,LB,,34.6215041,36.3894353,+9616870044,,,,,,,,1,high,Lead-gen website + Google Ads launch,osm,2026-05-04T11:47:22.388875Z
